სათაური,ავტორი,ფასი,ლინკი
თამაზ ჭილაძე – 55 ამბავი,___,₾5.00 GEL,http://lit.ge/book/272216-tamaz-chiladze-55-ambavi-___/
#იმდროს – 70 ამბავი,გელა ჩარკვიანი,₾5.00 GEL,http://lit.ge/book/272121-imdros-70-ambavi-gela-charkviani/
ოთარ ჩხეიძე – 100 ამბავი,როსტომ ჩხეიძე,₾6.00 GEL,http://lit.ge/book/271995-otar-chxeidze-100-ambavi-rostom-chxeidze/
დავით ბენ გურიონი,გურამ ბათიაშვილი,₾3.00 GEL,http://lit.ge/book/271935-davit-ben-gurioni-guram-batiashvili/
ბენიტო მუსოლინი,ნიკა თევზაძე,₾3.00 GEL,http://lit.ge/book/271856-benito-musolini-nika-tevzadze/
ნიკოლა ტესლა,ირმა ხარშილაძე,₾3.00 GEL,http://lit.ge/book/271813-nikola-tesla-irma-xarshiladze/
მარკო პოლო,სვეტა კვარაცხელია,₾3.00 GEL,http://lit.ge/book/271754-marko-polo-sveta-kvaracxelia/
გურია და გურულები – 150 ამბავი,ირაკლი მახარაძე,₾7.00 GEL,http://lit.ge/book/271576-guria-da-gurulebi-150-ambavi-irakli-maxaradze/
გალაკტიონი – 200 ამბავი,___,₾7.00 GEL,http://lit.ge/book/271349-galaktioni-200-ambavi-___/
მამები და შვილები. მოზეიმე სიყვარულის სიმღერა,ივან ტურგენევი,₾4.00 GEL,http://lit.ge/book/271206-mamebi-da-shvilebi-mozeime-siyvarulis-simghera-ivan-turgenevi/
ოთარ ჭილაძე 65 ამბავი,___,₾5.00 GEL,http://lit.ge/book/271120-otar-chiladze-65-ambavi-___/
ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება – 100 ამბავი,___,₾5.50 GEL,http://lit.ge/book/270981-qartvelta-shoris-tsera-kitxvis-gamavrcelebeli-sazogadoeba-100-ambavi-___/
ჩინური დღიური,კოკა არჩვაძე,₾5.20 GEL,http://lit.ge/book/270959-chinuri-dghiuri-koka-archvadze/
კონსტანტინე გამსახურდია – 126 ამბავი,___,₾6.00 GEL,http://lit.ge/book/270801-konstantine-gamsaxurdia-126-ambavi-___/
პავლე ინგოროყვა – 125 ამბავი,როსტომ ჩხეიძე,₾5.50 GEL,http://lit.ge/book/270640-pavle-ingoroyva-125-ambavi-rostom-chxeidze/
პირველი სიყვარული. გაზაფხულის მღელვარე ნაკადები. მუმუ,ივან ტურგენევი,₾4.00 GEL,http://lit.ge/book/270543-pirveli-siyvaruli-gazafxulis-mghelvare-nakadebi-mumu-ivan-turgenevi/
"კიბერდანაშაული, სასჯელი და პროცესუალური სამართალწარმოება",შაქრო ბაღდავაძე,₾4.00 GEL,"http://lit.ge/book/270507-kiberdanashauli,-sasjeli-da-procesualuri-samartaltsarmoeba-shaqro-baghdavadze/"
ბახუსის მოყვარულნი – 100 ამბავი,___,₾4.00 GEL,http://lit.ge/book/270379-baxusis-moyvarulni-100-ambavi-___/
მარკეტინგი,ბრაიან თრეისი,₾5.00 GEL,http://lit.ge/book/270260-marketingi-braian-treisi/
"მიხა, შე ძველო!",გარი ურჩი,უფასო,"http://lit.ge/book/270151-mixa,-she-dzvelo-gari-urchi/"
ნელსონ მანდელა,ზურაბ აბაშიძე,₾3.00 GEL,http://lit.ge/book/269972-nelson-mandela-zurab-abashidze/
სულის მოთქმა. მადლობა ცეცხლისთვის,მარიო ბენედეტი,₾8.00 GEL,http://lit.ge/book/269921-sulis-motqma-madloba-cecxlistvis-mario-benedeti/
Buy-ოლოგია,მარტინ ლინდსტრომი,₾7.00 GEL,http://lit.ge/book/269785-buy-ologia-martin-lindstromi/
ცხოველთა სამყარო – 100 უცნაური ამბავი,კახა კუდავა,₾4.50 GEL,http://lit.ge/book/269631-cxovelta-samyaro-100-ucnauri-ambavi-kaxa-kudava/
მერაბ კოსტავა – 79 ამბავი,___,₾4.00 GEL,http://lit.ge/book/269521-merab-kostava-79-ambavi-___/
ზვიად გამსახურდია – 79 ამბავი,___,₾4.00 GEL,http://lit.ge/book/269413-zviad-gamsaxurdia-79-ambavi-___/
კოსმოსური საქმე,სტიუარტ გიბსი,₾6.00 GEL,http://lit.ge/book/269351-kosmosuri-saqme-stiuart-gibsi/
შურისძიებას აცვია პრადა,ლორენ ვაისბერგერი,₾6.00 GEL,http://lit.ge/book/269303-shurisdziebas-acvia-prada-loren-vaisbergeri/
ოსკარ უაოს ხანმოკლე და უჩვეულო ცხოვრება,ჯუნოუ დიაზი,₾9.00 GEL,http://lit.ge/book/269195-oskar-uaos-xanmokle-da-uchveulo-cxovreba-junou-diazi/
ენ ვერონიკა,ჰერბერტ უელსი,₾6.00 GEL,http://lit.ge/book/269044-en-veronika-herbert-uelsi/
ხაფანგი-22. ტომი II,ჯოზეფ ჰელერი,₾7.00 GEL,http://lit.ge/book/268006-xafangi-22-tomi-ii-jozef-heleri/
სიცოცხლე განსაზღვრული არტიკლით,მარიამ წერეთელი,₾3.00 GEL,http://lit.ge/book/267961-sicocxle-gansazghvruli-artiklit-mariam-tsereteli/
ეროტიკული ტანკები,რუბოკო შო,₾3.00 GEL,http://lit.ge/book/267836-erotikuli-tankebi-ruboko-sho/
წითელი დედოფალი,ვიქტორია ავეიარდი,₾7.50 GEL,http://lit.ge/book/267775-tsiteli-dedofali-viqtoria-aveiardi/
უკანასკნელი ვარსკვლავი,რიკ იანსი,₾7.00 GEL,http://lit.ge/book/267621-ukanaskneli-varskvlavi-rik-iansi/
უკანასკნელი პრემიერა,მაია ბურჭულაძე,₾3.00 GEL,http://lit.ge/book/267573-ukanaskneli-premiera-maia-burchuladze/
ორშაბათის სიზმარი,მაია ბურჭულაძე,₾3.00 GEL,http://lit.ge/book/267533-orshabatis-sizmari-maia-burchuladze/
ხაფანგი-22. ტომი I,ჯოზეფ ჰელერი,₾7.00 GEL,http://lit.ge/book/267480-xafangi-22-tomi-i-jozef-heleri/
ავრორა Z კორპუსიდან,ანე-კატარინე ვესტლი,₾5.90 GEL,http://lit.ge/book/267445-avrora-z-korpusidan-ane-katarine-vestli/
ადამიანი გაჩნდა ჰოლოცენში,მაქს ფრიში,₾6.60 GEL,http://lit.ge/book/267413-adamiani-gachnda-holocenshi-maqs-frishi/
ექიმ დულიტლის თავგადასავალი,ჰიუ ლოფტინგი,₾5.20 GEL,http://lit.ge/book/267331-eqim-dulitlis-tavgadasavali-hiu-loftingi/
კუნძული,ოლდოს ჰაქსლი,₾12.60 GEL,http://lit.ge/book/267289-kundzuli-oldos-haqsli/
შესწორებები,ჯონათან ფრენზენი,₾17.20 GEL,http://lit.ge/book/267246-shestsorebebi-jonatan-frenzeni/
მონტოკი,მაქს ფრიში,₾7.20 GEL,http://lit.ge/book/267217-montoki-maqs-frishi/
ოკეანე ქუჩის ბოლოს,ნილ გეიმანი,₾7.90 GEL,http://lit.ge/book/267177-okeane-quchis-bolos-nil-geimani/
აუდიტორია,ლაშა ბუღაძე,₾7.20 GEL,http://lit.ge/book/267102-auditoria-lasha-bughadze/
ცეცხლი უფსკრულზე,ვერნორ ვინჯი,₾13.50 GEL,http://lit.ge/book/267029-cecxli-ufskrulze-vernor-vinji/
ქალები,ჰამდი ალ-გაზარი,₾2.50 GEL,http://lit.ge/book/266986-qalebi-hamdi-al-gazari/
ვიტა,მელანია მაცუკო,₾11.20 GEL,http://lit.ge/book/266922-vita-melania-macuko/
მიწისქვეშელები – ქვიშის საათი,ჯენიფერ ბელი,₾9.90 GEL,http://lit.ge/book/266863-mitsisqveshelebi-qvishis-saati-jenifer-beli/
ტირანი ბანდერასი,რამონ მარია დელ ვალიე-ინკლანი,₾4.00 GEL,http://lit.ge/book/266799-tirani banderasi-ramon-maria-del-valie-inklani/
ტირიფების ჩრდილქვეშ,ფირატ სუნელი,₾5.00 GEL,http://lit.ge/book/266742-tirifebis-chrdilqvesh-firat-suneli/
პირადი მიმოწერა,მარი ბროსე,₾8.00 GEL,http://lit.ge/book/266680-piradi-mimotsera-mari-brose/
პეტერბურგი,ანდრეი ბელი,₾9.00 GEL,http://lit.ge/book/266623-peterburgi-andrei-beli/
პენელოპე. მგზავრი.,შორენა ლებანიძე,₾6.00 GEL,http://lit.ge/book/266591-penelope-mgzavri-shorena-lebanidze/
ჯოისის ლაბირინთი,თემურ გაბუნია,₾7.00 GEL,http://lit.ge/book/266463-joisis-labirinti-temur-gabunia/
ორესტეა,ესქილე,₾7.50 GEL,http://lit.ge/book/266404-orestea-esqile/
ნისლქმნილი. აღზევების წყარო,ბრენდონ სანდერსონი,₾17.00 GEL,http://lit.ge/book/266309-nislqmnili-aghzevebis-tsyaro-brendon-sandersoni/
აჩრდილებით სავსე თავი,პოლ ტრემბლეი,₾10.00 GEL,http://lit.ge/book/266252-achrdilebit-savse-tavi-pol-tremblei/
შენი ცხოვრების ამბები,ტედ ჩანი,₾8.00 GEL,http://lit.ge/book/266209-sheni-cxovrebis-ambebi-ted-chani/
დედის რძე,ნორა იკსტენა,₾8.00 GEL,http://lit.ge/book/266118-dedis-rdze-nora-ikstena/
პორნოგრაფია,ვიტოლდ გომბროვიჩი,₾11.00 GEL,http://lit.ge/book/266076-pornografia-vitold-gombrovichi/
ოპერის მოჩვენება,გასტონ ლერუ,₾12.00 GEL,http://lit.ge/book/266021-operis-mochveneba-gaston-leru/
ქმრის საიდუმლო,ლიან მორიარტი,₾9.00 GEL,http://lit.ge/book/265930-qmris-saidumlo-lian-moriarti/
ხმლების ქურდობა (წიგნი I),მაიკლ ჯ. სალივანი,₾11.90 GEL,http://lit.ge/book/265892-xmlebis-qurdoba-tsigni-i-maikl-j-salivani/
დოქტორ ჯეკილისა და მისტერ ჰაიდის უცნაური ამბავი,რობერტ ლუის სტივენსონი,₾3.90 GEL,http://lit.ge/book/265860-doqtor-jekilisa-da-mister-haidis-ucnauri-ambavi-robert-luis-stivensoni/
"სად ხარ, ლაზარე...",ლუკა ბაქანიძე,₾1.00 GEL,"http://lit.ge/book/265830-sad-xar,-lazare-luka-baqanidze/"
ნამსხვრევები,ენ მაიკლსი,₾6.00 GEL,http://lit.ge/book/265782-namsxvrevebi-en-maiklsi/
დომენიკა და საიდუმლო ქალაქი,ელის დოჯსონი,₾7.00 GEL,http://lit.ge/book/265739-domenika-da-saidumlo-qalaqi-elis-dojsoni/
ბორნის იდენტიფიკაცია,რობერტ ლადლემი,₾8.90 GEL,http://lit.ge/book/265619-bornis-identifikacia-robert-ladlemi/
ახლო აღმოსავლეთი (ტომი II),რევაზ გაჩეჩილაძე,₾10.60 GEL,http://lit.ge/book/265540-axlo-aghmosavleti-tomi-ii-revaz-gachechiladze/
"სიცოცხლე, სამყარო და ყველაფერი",დაგლას ადამსი,₾7.90 GEL,"http://lit.ge/book/265477-sicocxle,-samyaro-da-yvelaferi-daglas-adamsi/"
ენდი უორჰოლის ფილოსოფია,ენდი უორჰოლი,₾9.20 GEL,http://lit.ge/book/265431-endi-uorholis-filosofia-endi-uorholi/
გრძელი გზა შინისაკენ,სარუ ბრაიერლი,₾7.00 GEL,http://lit.ge/book/265384-grdzeli-gza-shinisaken-saru-braierli/
ბრუკლინი,კოლმ ტოიბინი,₾6.50 GEL,http://lit.ge/book/265294-bruklini-kolm-toibini/
დაკარგული სინათლე,ჯილ სანტოპოლო,₾6.50 GEL,http://lit.ge/book/265181-dakarguli-sinatle-jil-santopolo/
ბიჭის შესახებ,ნიკ ჰორნბი,₾6.50 GEL,http://lit.ge/book/265119-bichis-shesaxeb-nik-hornbi/
ავტობუსი ზაფხულში,ვივადიმ მეშერიაკოვი,₾2.00 GEL,http://lit.ge/book/265053-avtobusi-zafxulshi-vivadim-mesheriakovi/
"სიყვარულით, როზი",სესილია აჰერნი,₾7.50 GEL,"http://lit.ge/book/264971-siyvarulit,-rozi-sesilia-aherni/"
დაშორებულები,ქეთევან დავრიშევი,₾3.50 GEL,http://lit.ge/book/264914-dashorebulebi-qetevan-davrishevi/
შვიდი მომაკვდინებელი გრძნობა,ნიკოლოზ ტოტოღაშვილი,₾7.70 GEL,http://lit.ge/book/264845-shvidi-momakvdinebeli-grdznoba-nikoloz-totoghashvili/
მეცხრე ფლიგელი,თეა ინასარიძე,₾7.40 GEL,http://lit.ge/book/264792-mecxre-fligeli-tea-inasaridze/
ლიტერატურული მოგონებები,ანა დოსტოევსკაია,₾8.90 GEL,http://lit.ge/book/264674-literaturuli-mogonebebi-ana-dostoevskaia/
ტუვა გლიმერდალიდან,მარია ფარი,₾6.60 GEL,http://lit.ge/book/264612-tuva-glimerdalidan-maria-fari/
ანგელოზები და დემონები,დენ ბრაუნი,₾18.60 GEL,http://lit.ge/book/264446-angelozebi-da-demonebi-den-brauni/
"მე, მარგარიტა",ანა კორძაია-სამადაშვილი,₾6.60 GEL,"http://lit.ge/book/264402-me,-margarita-ana-kordzaia-samadashvili/"
ზინკა ადამიანი,ანა კორძაია-სამადაშვილი,₾7.20 GEL,http://lit.ge/book/264358-zinka-adamiani-ana-kordzaia-samadashvili/
ტრანსმუტაცია,იაგო თვალაბეიშვილი,₾7.70 GEL,http://lit.ge/book/264313-transmutacia-iago-tvalabeishvili/
შულამელი გოგოები,გვანცა გუბელაძე,₾7.70 GEL,http://lit.ge/book/264267-shulameli-gogoebi-gvanca-gubeladze/
ცდუნება,ნათია ჯაგოდნიშვილი,₾8.20 GEL,http://lit.ge/book/264222-cduneba-natia-jagodnishvili/
ალაჰი ჩემი მეგობარია,ვახტანგ ვახტანგაძე,₾7.70 GEL,http://lit.ge/book/264181-alahi-chemi-megobaria-vaxtang-vaxtangadze/
"გოგონა, რომელიც სამაგიეროს ყველას უხდის",დევიდ ლაგერკრანცი,₾11.90 GEL,"http://lit.ge/book/264126-gogona,-romelic-samagieros-yvelas-uxdis-devid-lagerkranci/"
მკვლელობაში ეჭვმიტანილის აღსარება,ჯეიმზ პეტერსონი,₾6.50 GEL,"http://lit.ge/book/263991-mkvlelobashi-echvmitanilis-aghsareba-jeimz-petersoni,-maqsin-paetro/"
ცათამბჯენი,ჯეიმს ბალარდი,₾8.60 GEL,http://lit.ge/book/263925-catambjeni-jeims-balardi/
ჩემი ბრძოლა. წიგნი პირველი,კარლ უვე კნაუსგორი,₾11.20 GEL,http://lit.ge/book/263887-chemi-brdzola-tsigni-pirveli-karl-uve-knausgori/
გადაკვეთა,მაიკლ კონელი,₾7.00 GEL,http://lit.ge/book/263801-gadakveta-maikl-koneli/
"ბიჭი, ჩიტი და ოსტატი ალბერტო",მატილდა ვუდსი,₾5.00 GEL,"http://lit.ge/book/263748-bichi,-chiti-da-ostati-alberto-matilda-vudsi/"
შარლოტის კვალი,ბრიტანი კავალარო,₾7.00 GEL,http://lit.ge/book/263700-sharlotis-kvali-britani-kavalaro/
თავდაყირა,ჰოლი სმეილი,₾7.00 GEL,http://lit.ge/book/263572-tavdayira-holi-smeili/
მდგმურად უაილდფელ-ჰოლში,ენ ბრონტე,₾6.50 GEL,http://lit.ge/book/263492-mdgmurad-uaildfel-holshi-en-bronte/
წინამორბედი,ჯ. პ. დილენი,₾6.50 GEL,http://lit.ge/book/263447-tsinamorbedi-j-p-dileni/
უბედური შემთხვევების სეზონი,მოირა ფაული-დოილი,₾7.00 GEL,http://lit.ge/book/263392-ubeduri-shemtxvevebis-sezoni-moira-fauli-doili/
მინაუ ბლაის წმინდა ტყუილები,სტეფანი ოუკსი,₾6.50 GEL,http://lit.ge/book/263303-minau-blais-tsminda-tyuilebi-stefani-ouksi/
მერსისაიდული დღიური,ნუგზარ ღვალაძე,₾5.50 GEL,http://lit.ge/book/263268-mersisaiduli-dghiuri-nugzar-ghvaladze/
გრძელი გზა,ნიკოლას სპარქსი,₾7.50 GEL,http://lit.ge/book/263169-grdzeli-gza-nikolas-sparqsi/
ფრენისგან სუნთქვაშეკრული,ანეტე ლორი,₾5.00 GEL,http://lit.ge/book/263134-frenisgan-suntqvashekruli-anete-lori/
ზურგის ქარი,შორენა თალაკვაძე (ოშო),უფასო,http://lit.ge/book/262993-zurgis-qari-shorena-talakvadze-osho/
ლავროსი,ევგენი ვოდოლაზკინი,₾6.00 GEL,http://lit.ge/book/262772-lavrosi-evgeni-vodolazkini/
ღამის ცირკი,ერინ მორგენშტერნი,₾10.90 GEL,http://lit.ge/book/262665-ghamis-cirki-erin-morgenshterni/
სისხლიანი დაპირება (ვამპირების აკადემია 4),რიშელ მიდი,₾7.50 GEL,http://lit.ge/book/262606-sisxliani-dapireba-vampirebis-akademia-4-rishel-midi/
"როცა მეტირება, არ ვტირი",მიგელ ოტერო სილვა,₾7.00 GEL,"http://lit.ge/book/262563-roca-metireba,-ar-vtiri-migel-otero-silva/"
ახალი იორკი შორ კონტინენტზე,მარიკა მამალაძე,₾6.40 GEL,http://lit.ge/book/262517-axali-iorki-shor-kontinentze-marika-mamaladze/
თეატრალური პიესები,ზურაბ კალატოზიშვილი,₾3.00 GEL,http://lit.ge/book/262464-teatraluri-piesebi-zurab-kalatozishvili/
დამასტე,ნინო ორტიგა ჭინჭარაული,₾7.70 GEL,http://lit.ge/book/262429-damaste-nino-ortiga-chincharauli/
დაბრუნება – ადამიანები და სხვები,ნატო დავითაშვილი,₾4.90 GEL,http://lit.ge/book/262277-dabruneba-adamianebi-da-sxvebi-nato-davitashvili/
უეცრად გამათავისუფლებელი ფიქრი,შელ ასკილდსენი,₾5.90 GEL,http://lit.ge/book/262239-uecrad-gamatavisuflebeli-fiqri-shel-askildseni/
"სიყვარულით, ენტონი",ლიზა ჯენოვა,₾9.60 GEL,"http://lit.ge/book/262172-siyvarulit,-entoni-liza-jenova/"
Generation „პ“,ვიკტორ პელევინი,₾10.60 GEL,http://lit.ge/book/262124-generation-„p“-viktor-pelevini/
ლამაზად გაქცევა,ანა გავალდა,₾7.20 GEL,http://lit.ge/book/262055-lamazad-gaqceva-ana-gavalda/
ჰარამხანა – სასიყვარულო მოგზაურობა,ასლი სანჯარი,₾4.00 GEL,http://lit.ge/book/262020-haramxana-sasiyvarulo-mogzauroba-asli-sanjari/
ყველა ჩიტი გალობს,ევი ვაილდი,₾3.00 GEL,http://lit.ge/book/261961-yvela-chiti-galobs-evi-vaildi/
გული ფრიალებს,დონალ რაიანი,₾3.00 GEL,http://lit.ge/book/261918-guli-frialebs-donal-raiani/
თამარ მეფე,როინ მეტრეველი,₾5.00 GEL,http://lit.ge/book/261731-tamar-mefe-roin-metreveli/
მექანიკური გული,პიტერ ბანზლი,₾8.60 GEL,http://lit.ge/book/261546-meqanikuri-guli-piter-banzli/
საუკეთესო მოთხრობები,ლევ ტოლსტოი,₾5.00 GEL,http://lit.ge/book/260940-sauketeso-motxrobebi-lev-tolstoi/
ულისი,ინგუნ თონი,₾8.60 GEL,http://lit.ge/book/260882-ulisi-ingun-toni/
სპილო წყვდიადში,ზურაბ გურული,₾8.00 GEL,http://lit.ge/book/260791-spilo-tsyvdiadshi-zurab-guruli/
პენდერუიკების ოჯახი,ჯინ ბერდსოლი,₾7.20 GEL,http://lit.ge/book/260042-penderuikebis-ojaxi-jin-berdsoli/
საშობაო მოთხრობები,ჩარლზ დიკენსი,₾5.00 GEL,http://lit.ge/book/260004-sashobao-motxrobebi-charlz-dikensi/
დოქტორ ჰონიგბერგერის საიდუმლო,მირჩა ელიადე,₾5.00 GEL,http://lit.ge/book/259965-doqtor-honigbergeris-saidumlo-mircha-eliade/
"მითები, სიზმრები და მისტერიები",მირჩა ელიადე,₾5.00 GEL,"http://lit.ge/book/259879-mitebi,-sizmrebi-da-misteriebi-mircha-eliade/"
შიში,როს მაკდონალდი,₾6.00 GEL,http://lit.ge/book/259222-shishi-ros-makdonaldi/
ერეკლე II,აკაკი გელაშვილი,₾5.00 GEL,http://lit.ge/book/259134-erekle-ii-akaki-gelashvili/
მენტალური მისტერია,რამაზ გიგაური,₾5.00 GEL,http://lit.ge/book/259011-mentaluri-misteria-ramaz-gigauri/
დავით აღმაშენებელი,როინ მეტრეველი,₾5.00 GEL,http://lit.ge/book/258844-davit-aghmashenebeli-roin-metreveli/
ბირმული დღეები,ჯორჯ ორუელი,₾8.50 GEL,http://lit.ge/book/258609-birmuli-dgheebi-jorj-orueli/
ხოჭოების ბრძოლა,მ. ჯ. ლეონარდი,₾8.60 GEL,http://lit.ge/book/258544-xochoebis-brdzola-m-j-leonardi/
სიტყვიერების მასწავლებელი,ანტონ ჩეხოვი,₾1.00 GEL,http://lit.ge/book/258520-sityvierebis-mastsavlebeli-anton-chexovi/
ელვარების კოდი,ჯეიმზ დაშნერი,₾6.00 GEL,http://lit.ge/book/258270-elvarebis-kodi-jeimz-dashneri/
მე გაჩუქებ მზეს,ჯენდი ნელსონი,₾6.50 GEL,http://lit.ge/book/258121-me-gachuqeb-mzes-jendi-nelsoni/
მსოფლიო ჯაზის ვირტუოზები – ALL THAT JAZZ,გიგი კუბლაშვილი,₾4.00 GEL,http://lit.ge/book/257489-msoflio-jazis-virtuozebi-all-that-jazz-gigi-kublashvili/
დიპლომატიური პროტოკოლი და ეტიკეტი,გიგი კუბლაშვილი,₾5.00 GEL,"http://lit.ge/book/257377-diplomatiuri-protokoli-da-etiketi-gigi-kublashvili,-nino-tuxareli,-giorgi-loria/"
იფიქრე და გამდიდრდი,ნაპოლეონ ჰილი,₾6.00 GEL,http://lit.ge/book/257331-ifiqre-da-gamdidrdi-napoleon-hili/
ახალი აგვისტო,მანანა კობაიძე,₾6.00 GEL,http://lit.ge/book/256542-axali-agvisto-manana-kobaidze/
დონორი,ნიკა ლაშხია,₾5.00 GEL,http://lit.ge/book/256452-donori-nika-lashxia/
დღის მიწურულს,კაზუო იშიგურო,₾8.50 GEL,http://lit.ge/book/254653-dghis-mitsuruls-kazuo-ishiguro/
აჩრდილები სამოთხეში,ერიხ მარია რემარკი,₾8.50 GEL,http://lit.ge/book/254593-achrdilebi-samotxeshi-erix-maria-remarki/
იდუმალი მოწინააღმდეგე,აგათა კრისტი,₾7.00 GEL,http://lit.ge/book/254532-idumali-motsinaaghmdege-agata-kristi/
ახლო აღმოსავლეთი (ტომი I),რევაზ გაჩეჩილაძე,₾10.60 GEL,http://lit.ge/book/254485-axlo-aghmosavleti-tomi-i-revaz-gachechiladze/
